Datetime,Ticker,High,Low,Source
2026-05-11 13:30,MSFT,411.94,409.1,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-11 14:30,MSFT,411.6,409.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-11 15:30,MSFT,412.68,411.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 9:30,MSFT,415.5,406.65,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 10:30,MSFT,409.65,407.86,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 11:30,MSFT,409.92,407.39,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 12:30,MSFT,410.44,407.75,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 13:30,MSFT,409.67,407.93,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 14:30,MSFT,409.08,407.28,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-12 15:30,MSFT,408.97,407.1,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 9:30,MSFT,404.76,401.03,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 10:30,MSFT,404.21,402.05,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 11:30,MSFT,405.85,403.01,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 12:30,MSFT,406.3,404.04,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 13:30,MSFT,405.35,403.71,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 14:30,MSFT,406.17,404.41,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-13 15:30,MSFT,405.9,404.31,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 9:30,MSFT,408.98,400.88,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 10:30,MSFT,411.65,406.9,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 11:30,MSFT,411.83,407.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 12:30,MSFT,409.02,407.3,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 13:30,MSFT,409.95,408.29,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 14:30,MSFT,409.82,408.5,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-14 15:30,MSFT,409.7,409,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 9:30,MSFT,419.05,412.91,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 10:30,MSFT,426.3,418.49,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 11:30,MSFT,426.44,420.51,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 12:30,MSFT,426.35,423.77,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 13:30,MSFT,428.18,425.74,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 14:30,MSFT,426.4,423.76,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-15 15:30,MSFT,424.91,420.38,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 9:30,MSFT,424.14,415.63,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 10:30,MSFT,422.3,417,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 11:30,MSFT,419.75,417.14,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 12:30,MSFT,423.06,417.91,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 13:30,MSFT,425.12,422.46,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 14:30,MSFT,424.16,420.93,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-18 15:30,MSFT,423.66,421.97,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 9:30,MSFT,432.7,424.15,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 10:30,MSFT,425.96,420.92,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 11:30,MSFT,422.11,417.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 12:30,MSFT,419.49,417.1,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 13:30,MSFT,419.84,418.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 14:30,MSFT,419.82,417.58,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-19 15:30,MSFT,418.44,416.5,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 9:30,MSFT,416.05,411.31,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 10:30,MSFT,418,413.75,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 11:30,MSFT,419.29,416.49,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 12:30,MSFT,419.7,416.89,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 13:30,MSFT,421.15,418.9,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 14:30,MSFT,420.74,419.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-20 15:30,MSFT,422.08,420.26,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
